recipe,meal,status,issues,ingredients
Фриттата со шпинатом и творогом,Завтрак,approved,,"Яйца, Творог 5%, Шпинат, Соль, Чёрный перец, Оливковое масло"
Рисовая каша с вишней,Завтрак,approved,,"Рис, Молоко 3,2%, Вишня, Миндаль"
Кефирный боул с ягодами,Завтрак,approved,,"Кефир 2,5%, Малина, Черника, Овсянка, Соль"
Смузи с бананом и черникой,Завтрак,approved,,"Банан, Черника, Греческий йогурт 2%, Овсянка, Соль"
Смузи с манго и кефиром,Завтрак,approved,,"Манго, Кефир 2,5%, Банан, Семена чиа"
Смузи с клубникой и бананом,Завтрак,approved,,"Клубника, Банан, Греческий йогурт 2%, Молоко 3,2%"
Чиа-пудинг с малиной,Завтрак,approved,,"Семена чиа, Молоко 3,2%, Малина, Греческий йогурт 2%"
Чиа-пудинг с черникой,Завтрак,approved,,"Семена чиа, Молоко 3,2%, Черника, Банан"
Тост с фетой и томатами,Завтрак,approved,,"Хлеб цельнозерновой, Фета, Помидоры, Шпинат"
Горячий сэндвич с индейкой,Завтрак,approved,,"Хлеб цельнозерновой, Индейка, Фета, Помидоры, Чёрный перец, Соль, Чеснок, Горчица, Мёд, Оливковое масло"
Картофельный завтрак с яйцом,Завтрак,approved,,"Картофель, Яйца, Шпинат, Помидоры, Соль, Чёрный перец, Оливковое масло, Базилик"
Батат с яйцом и авокадо,Завтрак,approved,,"Батат, Яйца, Авокадо, Соль, Чёрный перец"
Киноа-омлет с овощами,Завтрак,approved,,"Киноа, Яйца, Кабачок, Перец, Соль, Чёрный перец, Оливковое масло"
Творожные панкейки с черникой,Завтрак,approved,,"Творог 5%, Яйца, Овсянка, Черника"
Творожная миска с ежевикой,Завтрак,approved,,"Творог 5%, Ежевика, Грецкие орехи"
Йогурт с красной смородиной,Завтрак,approved,,"Греческий йогурт 2%, Красная смородина, Овсянка, Миндаль, Соль"
Йогурт с чёрной смородиной,Завтрак,approved,,"Греческий йогурт 2%, Чёрная смородина, Семена чиа, Банан"
Перловая каша с грушей,Завтрак,approved,,"Перловка, Груша, Молоко 3,2%, Фисташки"
Курица с рисом и брокколи,Обед,approved,,"Курица, Рис, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с гречкой и кабачком,Обед,approved,,"Курица, Гречка, Кабачок, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Укроп"
Курица с булгуром и перцем,Обед,approved,,"Курица, Булгур, Перец, Шпинат, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец, Соевый соус, Имбирь"
Курица с киноа и авокадо,Обед,approved,,"Курица, Киноа, Авокадо, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Индейка с гречкой и овощами,Обед,approved,,"Индейка, Гречка, Перец, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с бурым рисом,Обед,approved,,"Индейка, Рис бурый, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с кускусом,Обед,approved,,"Индейка, Кускус, Кабачок, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Говядина с булгуром,Обед,approved,,"Говядина, Булгур, Перец, Шпинат, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Говядина с гречкой и свёклой,Обед,approved,,"Говядина, Гречка, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Уксус винный"
Свинина с картофелем и капустой,Обед,approved,,"Свинина постная, Картофель, Капуста, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Уксус винный"
Лосось с киноа и авокадо,Обед,approved,,"Лосось свежий, Киноа, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль"
Лосось с картофелем и брокколи,Обед,approved,,"Лосось свежий, Картофель, Брокколи, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Форель с булгуром,Обед,approved,,"Форель, Булгур, Зелёная фасоль, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с рисом и овощами,Обед,approved,,"Треска, Рис, Кабачок, Перец, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с картофелем,Обед,approved,,"Треска, Картофель, Капуста, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Свежий тунец с бурым рисом и авокадо,Обед,approved,,"Тунец свежий, Рис бурый, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Свежий тунец с цельнозерновой пастой и томатами,Обед,approved,,"Тунец свежий, Макароны цельнозерновые, Помидоры, Шпинат, Лимон, Оливковое масло, Чёрный перец, Чеснок, Базилик, Соль"
Креветки с цельнозерновой пастой,Обед,approved,,"Креветки сырые, Макароны цельнозерновые, Кабачок, Помидоры, Лимон, Оливковое масло, Чёрный перец, Чеснок, Базилик, Соль"
Креветки с рисом и брокколи,Обед,approved,,"Креветки сырые, Рис, Брокколи, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Скумбрия с картофелем,Обед,approved,,"Скумбрия, Картофель, Салат, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Чечевица с киноа и шпинатом,Обед,approved,,"Чечевица готовая, Киноа, Шпинат, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Нут с тыквой и киноа,Обед,approved,,"Нут готовый, Тыква, Киноа, Шпинат, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Фасоль с бурым рисом,Обед,approved,,"Фасоль готовая, Рис бурый, Перец, Авокадо, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тофу с гречкой и брокколи,Обед,approved,,"Тофу, Гречка, Брокколи, Перец, Соевый соус, Имбирь, Чеснок"
Тофу с рисом и овощами,Обед,approved,,"Тофу, Рис, Кабачок, Морковь, Соевый соус, Имбирь, Чеснок"
Хумус-боул с нутом,Обед,approved,,"Хумус, Нут готовый, Огурцы, Помидоры, Булгур, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Киноа-боул с фетой,Обед,approved,,"Киноа, Фета, Помидоры, Огурцы, Шпинат, Соль, Чёрный перец, Лимон, Оливковое масло, Петрушка"
Паста с курицей и шпинатом,Обед,approved,,"Курица, Макароны цельнозерновые, Шпинат, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Паста с индейкой и кабачком,Обед,approved,,"Индейка, Макароны цельнозерновые, Кабачок, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Булгур с говядиной и овощами,Обед,approved,,"Говядина, Булгур, Баклажан, Перец, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Кускус с курицей и овощами,Обед,approved,,"Курица, Кускус, Огурцы, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Перловка с индейкой и овощами,Обед,approved,,"Индейка, Перловка, Шпинат, Кабачок, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Картофельный боул с тунцом,Обед,approved,,"Картофель, Тунец консервированный в собственном соку, Огурцы, Греческий йогурт 2%, Лимон, Оливковое масло, Чёрный перец"
Батат с курицей и авокадо,Обед,approved,,"Батат, Курица, Авокадо, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Батат с нутом и шпинатом,Обед,approved,,"Батат, Нут готовый, Шпинат, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с лососем,Обед,approved,,"Лосось свежий, Картофель, Салат, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Тёплый салат с индейкой,Обед,approved,,"Индейка, Булгур, Салат, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Лимон, Укроп"
Боул с креветками и киноа,Обед,approved,,"Креветки сырые, Киноа, Авокадо, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль"
Чечевичный боул с овощами,Обед,approved,,"Чечевица готовая, Булгур, Брокколи, Перец, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
"Боул с фасолью, киноа и авокадо",Обед,approved,,"Фасоль готовая, Киноа, Перец, Авокадо, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Творог с малиной,Перекус,approved,,"Творог 5%, Малина"
Творог с голубикой,Перекус,approved,,"Творог 5%, Голубика"
Творог с ягодами и орехами,Перекус,approved,,"Творог 5%, Черника, Малина, Миндаль"
Йогурт с клубникой,Перекус,approved,,"Греческий йогурт 2%, Клубника"
Йогурт с черникой и чиа,Перекус,approved,,"Греческий йогурт 2%, Черника, Семена чиа"
Кефир с голубикой,Перекус,approved,,"Кефир 2,5%, Голубика, Фисташки"
Яблоко с миндалём,Перекус,approved,,"Яблоко, Миндаль"
Груша с миндалём,Перекус,approved,,"Груша, Миндаль"
Банан с греческим йогуртом,Перекус,approved,,"Банан, Греческий йогурт 2%"
Киви с йогуртом,Перекус,approved,,"Киви, Греческий йогурт 2%"
Тост с творогом и перцем,Перекус,approved,,"Хлеб цельнозерновой, Творог 5%, Перец, Помидоры, Соль, Чёрный перец, Укроп"
Персик с йогуртом и миндалём,Перекус,approved,,"Персик, Греческий йогурт 2%, Миндаль"
Ягодный микс с йогуртом,Перекус,approved,,"Клубника, Малина, Черника, Греческий йогурт 2%"
Ежевика с творогом,Перекус,approved,,"Ежевика, Творог 5%, Мёд"
Смородина с йогуртом,Перекус,approved,,"Чёрная смородина, Греческий йогурт 2%, Мёд"
Хумус с огурцом и перцем,Перекус,approved,,"Хумус, Огурцы, Перец"
Хумус с морковью и огурцом,Перекус,approved,,"Хумус, Морковь, Огурцы"
Тост с хумусом и помидором,Перекус,approved,,"Хлеб цельнозерновой, Хумус, Помидоры"
"Тост с рикоттой, помидорами и базиликом",Перекус,approved,,"Хлеб цельнозерновой, Рикотта, Помидоры, Базилик, Чёрный перец"
Тост с тунцом в собственном соку и огурцом,Перекус,approved,,"Хлеб цельнозерновой, Тунец консервированный в собственном соку, Огурцы"
Яйцо с помидорами и огурцом,Перекус,approved,,"Яйца, Помидоры, Огурцы, Соль, Чёрный перец"
Мини-омлет со шпинатом,Перекус,approved,,"Яйца, Шпинат, Моцарелла"
Смузи клубника-банан,Перекус,approved,,"Клубника, Банан, Кефир 2,5%"
Смузи черника-йогурт,Перекус,approved,,"Черника, Греческий йогурт 2%, Банан"
Смузи киви-манго,Перекус,approved,,"Киви, Манго, Кефир 2,5%"
Ореховый перекус с яблоком,Перекус,approved,,"Яблоко, Грецкие орехи"
Фисташки с мандарином,Перекус,approved,,"Фисташки, Мандарин"
Фета с помидорами и огурцом,Перекус,approved,,"Фета, Помидоры, Огурцы"
Мини-тост с авокадо и помидором,Перекус,approved,,"Авокадо, Хлеб цельнозерновой, Помидоры"
Чиа-йогурт с клюквой,Перекус,approved,,"Семена чиа, Греческий йогурт 2%, Клюква"
Курица с овощами на сковороде,Ужин,approved,,"Курица, Кабачок, Перец, Брокколи, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с цветной капустой,Ужин,approved,,"Курица, Цветная капуста, Шпинат, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок"
Индейка с брокколи,Ужин,approved,,"Индейка, Брокколи, Кабачок, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с бататом,Ужин,approved,,"Индейка, Батат, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Говядина с овощами,Ужин,approved,,"Говядина, Брокколи, Перец, Кабачок, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Свинина с капустой,Ужин,approved,,"Свинина постная, Капуста, Морковь, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Уксус винный"
Форель с брокколи и картофелем,Ужин,approved,,"Форель, Брокколи, Картофель, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Лосось с бататом,Ужин,approved,,"Лосось свежий, Батат, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с овощами,Ужин,approved,,"Форель, Кабачок, Помидоры, Салат, Лимон, Оливковое масло, Чёрный перец, Соль"
Треска с брокколи,Ужин,approved,,"Треска, Брокколи, Картофель, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с цветной капустой,Ужин,approved,,"Треска, Цветная капуста, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Салат с тунцом в собственном соку и авокадо,Ужин,approved,,"Тунец консервированный в собственном соку, Салат, Огурцы, Помидоры, Авокадо, Лимон, Оливковое масло, Чёрный перец, Горчица"
Креветки с кабачком,Ужин,approved,,"Креветки сырые, Кабачок, Перец, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Креветки с брокколи,Ужин,approved,,"Креветки сырые, Брокколи, Помидоры, Оливковое масло, Лимон, Чёрный перец, Соль"
Скумбрия с салатом,Ужин,approved,,"Скумбрия, Салат, Огурцы, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль"
Омлет с овощами,Ужин,approved,,"Яйца, Шпинат, Помидоры, Перец, Соль, Чёрный перец"
Омлет с фетой и шпинатом,Ужин,approved,,"Яйца, Фета, Шпинат, Оливковое масло, Соль, Чёрный перец"
Тофу с брокколи,Ужин,approved,,"Тофу, Брокколи, Перец, Оливковое масло, Соевый соус, Имбирь, Чеснок"
Тофу с баклажаном,Ужин,approved,,"Тофу, Баклажан, Помидоры, Шпинат, Соевый соус, Имбирь, Чеснок, Лайм"
Чечевица с овощами,Ужин,approved,,"Чечевица готовая, Помидоры, Морковь, Шпинат, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Нут с брокколи,Ужин,approved,,"Нут готовый, Брокколи, Помидоры, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Фасоль с овощами,Ужин,approved,,"Фасоль готовая, Перец, Помидоры, Авокадо, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с курицей,Ужин,approved,,"Курица, Салат, Помидоры, Огурцы, Авокадо, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тёплый салат с индейкой и свёклой,Ужин,approved,,"Индейка, Салат, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тёплый салат с форелью,Ужин,approved,,"Форель, Салат, Помидоры, Авокадо, Лимон, Оливковое масло, Чёрный перец, Соль"
Запечённый картофель с творогом и зеленью,Ужин,approved,,"Картофель, Творог 5%, Огурцы, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец"
"Батат с чечевицей, фетой и шпинатом",Ужин,approved,,"Батат, Чечевица готовая, Фета, Шпинат, Лимон, Оливковое масло"
Запечённая цветная капуста с нутом,Ужин,approved,,"Цветная капуста, Нут готовый, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Баклажан с индейкой,Ужин,approved,,"Баклажан, Индейка, Помидоры, Моцарелла, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Кабачок с курицей и сыром,Ужин,approved,,"Кабачок, Курица, Грюйер, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Тыква с чечевицей,Ужин,approved,,"Тыква, Чечевица готовая, Шпинат, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
"Боул с фасолью, киноа и сладким перцем",Ужин,approved,,"Перец, Фасоль готовая, Киноа, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Киноа с яйцом и овощами,Ужин,approved,,"Киноа, Яйца, Брокколи, Перец, Соль, Чёрный перец, Лимон, Оливковое масло, Петрушка"
Гречка с тофу и шпинатом,Ужин,approved,,"Гречка, Тофу, Шпинат, Помидоры, Соевый соус, Имбирь, Чеснок, Лайм"
Булгур с креветками,Ужин,approved,,"Булгур, Креветки сырые, Кабачок, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Кускус с тунцом в собственном соку и овощами,Ужин,approved,,"Кускус, Тунец консервированный в собственном соку, Огурцы, Помидоры, Лимон, Оливковое масло, Чёрный перец"
Паста с тунцом и шпинатом,Ужин,approved,,"Макароны цельнозерновые, Тунец консервированный в собственном соку, Шпинат, Помидоры, Лимон, Оливковое масло, Чёрный перец, Томатная паста, Чеснок, Базилик, Соль"
Паста с тофу и овощами,Ужин,approved,,"Макароны цельнозерновые, Тофу, Кабачок, Перец, Соевый соус, Имбирь, Чеснок, Томатная паста, Базилик, Оливковое масло, Соль, Чёрный перец"
Рис с яйцом и овощами,Ужин,approved,,"Рис бурый, Яйца, Морковь, Зелёная фасоль, Соль, Чёрный перец"
Мультиварочный нут с овощами,Ужин,approved,,"Нут готовый, Кабачок, Морковь, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Овсянка с клубникой и йогуртом,Завтрак,approved,,"Овсянка, Греческий йогурт 2%, Клубника, Семена чиа, Соль"
Овсянка с вишней и миндалём,Завтрак,approved,,"Овсянка, Вишня, Миндаль, Молоко 3,2%, Соль"
Овсянка с грушейм и льном,Завтрак,approved,,"Овсянка, Груша, Семена льна, Молоко 3,2%, Соль"
Гречневая каша с грушейм,Завтрак,approved,,"Гречка, Груша, Молоко 3,2%, Семена чиа"
Йогурт-боул с вишней и чиа,Завтрак,approved,,"Греческий йогурт 2%, Вишня, Семена чиа, Банан"
Творог с клубникой и бананом,Завтрак,approved,,"Творог 5%, Клубника, Банан, Семена чиа"
Омлет с брокколи и помидорами,Завтрак,approved,,"Яйца, Брокколи, Помидоры, Чеддер, Соль, Чёрный перец, Оливковое масло, Базилик"
Омлет с зелёной фасолью и сыром,Завтрак,approved,,"Яйца, Зелёная фасоль, Гауда, Соль, Чёрный перец"
Омлет с курицей и перцем,Завтрак,approved,,"Яйца, Курица, Перец, Соль, Чёрный перец, Оливковое масло, Чеснок, Соевый соус, Имбирь"
Скрэмбл с треской и шпинатом,Завтрак,approved,,"Яйца, Треска, Шпинат, Соль, Чёрный перец, Оливковое масло, Лимон"
Французский тост с творогом и вишней,Завтрак,approved,,"Хлеб цельнозерновой, Яйца, Творог 5%, Вишня, Мёд, Соль, Чёрный перец"
Фриттата с брокколи и творогом,Завтрак,approved,,"Яйца, Творог 5%, Брокколи, Соль, Чёрный перец, Оливковое масло"
Каша из булгура с вишней,Завтрак,approved,,"Булгур, Молоко 3,2%, Вишня, Миндаль"
Смузи с бананом и клубникой,Завтрак,approved,,"Банан, Клубника, Греческий йогурт 2%, Овсянка, Соль"
Чиа-пудинг с вишней,Завтрак,approved,,"Семена чиа, Молоко 3,2%, Вишня, Греческий йогурт 2%"
Чиа-пудинг с клубникой,Завтрак,approved,,"Семена чиа, Молоко 3,2%, Клубника, Банан"
Горячий сэндвич с курицей,Завтрак,approved,,"Хлеб цельнозерновой, Курица, Фета, Помидоры, Чёрный перец, Соль, Чеснок, Горчица, Мёд, Оливковое масло"
Бататомный завтрак с яйцом,Завтрак,approved,,"Батат, Яйца, Шпинат, Помидоры, Соль, Чёрный перец, Оливковое масло, Базилик"
Индейка с рисом и брокколи,Обед,approved,,"Индейка, Рис, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Тофу с гречкой и кабачком,Обед,approved,,"Тофу, Гречка, Кабачок, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Укроп"
Курица с кускусом и перцем,Обед,approved,,"Курица, Кускус, Перец, Шпинат, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец, Соевый соус, Имбирь"
Тофу с киноа и авокадо,Обед,approved,,"Тофу, Киноа, Авокадо, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Курица с гречкой и овощами,Обед,approved,,"Курица, Гречка, Перец, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с бурым рисом,Обед,approved,,"Курица, Рис бурый, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с кускусом,Обед,approved,,"Курица, Кускус, Кабачок, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Говядина с кускусом,Обед,approved,,"Говядина, Кускус, Перец, Шпинат, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с гречкой и свёклой,Обед,approved,,"Индейка, Гречка, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Уксус винный"
Свинина с бататом и капустой,Обед,approved,,"Свинина постная, Батат, Капуста, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Уксус винный"
Форель с киноа и авокадо,Обед,approved,,"Форель, Киноа, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль"
Лосось с картофелем и зелёной фасолью,Обед,approved,,"Лосось свежий, Картофель, Зелёная фасоль, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Форель с кускусом,Обед,approved,,"Форель, Кускус, Зелёная фасоль, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с булгуромом и овощами,Обед,approved,,"Треска, Булгур, Кабачок, Перец, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Лосось с картофелем,Обед,approved,,"Лосось свежий, Картофель, Капуста, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Креветки с булгуромом и брокколи,Обед,approved,,"Креветки сырые, Булгур, Брокколи, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Скумбрия с бататом,Обед,approved,,"Скумбрия, Батат, Салат, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Чечевица с киноа и брокколи,Обед,approved,,"Чечевица готовая, Киноа, Брокколи, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тофу с гречкой и зелёной фасолью,Обед,approved,,"Тофу, Гречка, Зелёная фасоль, Перец, Соевый соус, Имбирь, Чеснок"
Тофу с булгуромом и овощами,Обед,approved,,"Тофу, Булгур, Кабачок, Морковь, Соевый соус, Имбирь, Чеснок"
Паста с тофу и шпинатом,Обед,approved,,"Тофу, Макароны цельнозерновые, Шпинат, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Паста с курицей и кабачком,Обед,approved,,"Курица, Макароны цельнозерновые, Кабачок, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Кускус с говядиной и овощами,Обед,approved,,"Говядина, Кускус, Баклажан, Перец, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Кускус с тофу и овощами,Обед,approved,,"Тофу, Кускус, Огурцы, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Перловка с курицей и овощами,Обед,approved,,"Курица, Перловка, Шпинат, Кабачок, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Бататомный боул с тунцом,Обед,approved,,"Батат, Тунец консервированный в собственном соку, Огурцы, Греческий йогурт 2%, Лимон, Оливковое масло, Чёрный перец"
Батат с тофу и авокадо,Обед,approved,,"Батат, Тофу, Авокадо, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Батат с нутом и брокколи,Обед,approved,,"Батат, Нут готовый, Брокколи, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с треской,Обед,approved,,"Треска, Картофель, Салат, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Творог с вишней,Перекус,approved,,"Творог 5%, Вишня"
Йогурт с клубникой и чиа,Перекус,approved,,"Греческий йогурт 2%, Клубника, Семена чиа"
Груша с грецким орехом,Перекус,approved,,"Груша, Грецкие орехи"
